Country	Mountain	Latitude	Longitude	Elevation
Argentina	Cerro Crespo	-40.4366534	-71.7422233	2130
Argentina	Cerro Chato	-42.4864631	-72.0130005	2245
Argentina	Cerro Altamirano	-44.6160122	-71.2102778	1144
Argentina	Navarro Peak	-24.854204	-67.297983	5092 m
Argentina	Champaquí Peak	-31.913936	-64.910919	2880 m
Argentina	Cerro Torre	-49.2907155	-73.0973033	3102
Argentina	Cerro Castor	-45.5955704	-71.7366099	978
Argentina	Bayo Peak	-46.156612	-69.043097	454 m
Argentina	Monte Fitz Roy	-49.2712498	-73.0432115	3405
Argentina	Cerro Catedral	-41.216739	-71.497467	2388 m
Argentina	Morro Morro Negro	-45.5023414	-71.5000505	1084
Argentina	Cerro Las Chivas	-47.5123009	-72.2910538	1804
Argentina	Cerro Murallón del Viedma (T48)	-49.3575446	-73.1291378	2319
Argentina	Cerro Marconi Norte	-49.198588	-73.1400928	2210
Argentina	Cerro Gorro	-44.7859682	-71.9672034	1639
Argentina	Cerro Nelson	-44.2990398	-71.7996664	1630
Argentina	Cerro Botella Oeste	-44.1404932	-71.8426247	1817
Argentina	Cerro Peñascoso	-40.4204954	-71.7072445	1930
Argentina	Cerro Paimún	-39.6779988	-71.6736379	1886
Argentina	Cerro Campana	-40.5781297	-71.825051	1937
Argentina	Cerro Cuernos del Chihuilhue Norte	-40.1026784	-71.8091077	1765
Argentina	Cerro Moño	-34.7989861	-70.2479446	4699
Argentina	Cerro Puente Alto	-33.6411693	-69.8751283	4239
Argentina	Cerro Sierra Bella	-33.2735924	-69.8338884	5275
Argentina	Cerro Cincuentenario	-33.2263034	-70.0526058	4987
Argentina	Torre Virgen Este	-32.8866148	-69.999851	5200
Argentina	Torre Virgen Oeste	-32.8845517	-70.0012565	5215
Argentina	Gemelo Oeste	-32.8903807	-69.9964071	5122
Argentina	Alto del Río Blanco	-32.9539417	-70.0094073	5228
Argentina	Cerro Gemelos	-32.8818587	-70.0049666	5240
Argentina	Pico El Titán	-32.7868735	-70.1079281	4254
Argentina	Cerro de la Iglesia	-32.8010168	-70.0983084	4230
Argentina	Cerro Peñas Amarillas	-32.7675371	-70.1153899	4252
Argentina	Cerro Peñascoso	-32.7636577	-70.1210118	4147
Argentina	Cerro Tres Hermanos Central	-32.7450344	-70.1322985	4595
Argentina	Cerro Tres Hermanos Sur	-32.7592224	-70.1283261	4274
Argentina	Cerro Guardián del Portillo	-32.72903	-70.147219	4532
Argentina	Cerro Tres Hermanos Norte	-32.7322746	-70.1374484	4751
Argentina	Cerro Alma Blanca	-32.5764796	-70.1261277	5175
Argentina	Cerro Gino Pertile	-32.6042051	-70.1633048	4852
Argentina	Cerro Cerro del Colmillo	-30.8720934	-70.3031347	4433
Argentina	Gabriela Mistral	-30.1869632	-69.818726	5051
Argentina	Los Amarillos	-29.2934416	-70.0005035	5584
Argentina	Marancales I	-28.4301848	-69.6327623	5521
Argentina	Marancales	-28.4480578	-69.6626083	5688
Argentina	Cerro Negro o Volcán	-25.0318335	-68.3787346	5591
Argentina	Cerro Silla	-24.7906493	-68.5665698	5308
Croatia	Ivanšćica	46.1819364	16.1291625	1059 m
Hungary	Kékes	47.8728619	20.008207	1014 m
Croatia	Psunj	45.3865766	17.3317247	986 m
Croatia	Papuk	45.5227525	17.6046834	953 m
Iceland	Hekla	64.001427	-19.708028	1491 m
Iceland	Laki	64.084961	-18.179042	818 m
Iceland	Hvannadalshnúkur	64.044082	-16.65378	2119 m
Argentina	Cazador	-27.193381	-68.559162	6658 m
Argentina	Chivinar	-24.343917	-67.34557	4309 m
Argentina	Mount Champaquí	-31.983017	-64.938788	2790 m
Argentina	Ventana Mountains	-38.049114	-62.019731	1134 m
Argentina	Loma del Muerto	-51.5840883	-72.3382719	760
Argentina	Cerro Monte Chico	-51.2010015	-72.3040777	719
Argentina	Cerro Daudet	-50.775	-73.1025	1442
Argentina	Cerro Huemul	-49.4233108	-73.034338	2677
Argentina	Cerro Grande	-49.3384295	-73.095715	2751
Argentina	Adela Sur	-49.3127381	-73.0947731	2840
Argentina	Cerro Pollone	-49.2530555	-73.0883646	2579
Argentina	Cerro Rasgado	-48.0720659	-72.3839344	1840
Argentina	Pico Triangular Sur	-46.985165	-71.9185909	2588
Argentina	Cerro Cabeza Blanca	-46.2649346	-71.7360785	1007
Argentina	Cerro Teta	-46.197283	-71.7810344	1784
Argentina	Cerro Tres Picos	-39.4805798	-71.4692477	1764
Argentina	Cerro Kiñewen	-34.4661059	-70.0789792	4130
Argentina	Cerro Punta Arena	-39.1649664	-71.4010081	2090
Argentina	Cerro La Mano	-36.2170788	-70.6330193	3006
Argentina	Marmolejo Norte Antecumbre Norte	-33.701225	-69.8713732	5399
Indonesia	Bulu Rantekombola	-3.35	120.01667	3455 m
Indonesia	Mount Semeru	-8.1123957	112.9231715	3676 m
Indonesia	Mount Abang	-8.2834319	115.4220368	2151 m
Indonesia	Mount Agung	-8.3414438	115.5073727	2567 m
Indonesia	Mount Rinjani	-8.414397	116.466408	3726 m
Indonesia	Mount Kerinci	-1.702859	101.262711	3805 m
Indonesia	Krakatau	-6.153474	105.434105	813 m
Indonesia	Mount Merapi	-7.55	110.433334	2911 m
Indonesia	Mount Kawi	-8.006046	112.481942	1250 m
Indonesia	Mount Bromo	-7.9440192	112.9550056	2000 m
Indonesia	Mount Batur	-8.2627023	115.3534522	1412 m
Indonesia	Puncak Jaya	-4.04287	137.054459	5030 m
Iran	Mount Hazār	29.5116031	57.2722274	4465 m
India	Kingu DI Mali Mountain	34.693142	74.019717	3361 m
India	Lund Mountain	34.784972	74.318419	3656 m
India	Shalabut Mountain	34.482907	74.311639	2056 m
India	Bod Bal Mountain	34.491104	74.347001	2500 m
India	Chandigam Bal Mountain	34.455269	74.375123	2330 m
India	Shahkut Mountain	34.469146	74.40015	2011 m
India	Poslut Mountain	34.499787	74.484621	2680 m
India	Markul Mountain	34.466773	74.463668	2195 m
India	Bumus Mountain	34.461606	74.485833	2580 m
India	Wadori Mountain	34.370681	73.916708	3331 m
India	Koni Rawal Mountain	34.366642	73.937557	3994 m
India	Palaphar Mountain	34.370298	73.997672	3796 m
India	Shamahabari Mountain	34.351399	73.949548	4120 m
India	Nangi Jinjar Mountain	34.302089	73.99484	3520 m
India	Ench Mountain	34.413689	74.016203	3205 m
India	Shonth Mountain	34.439155	74.116732	2166 m
India	Yadal Mountain	34.364697	74.079435	3117 m
India	Pathri Jinjar Mountain	34.291752	74.033327	3320 m
India	Chhota Kazinag Mountain	34.149831	73.950022	2960 m
India	Nanga Par Mountain	34.152488	73.992922	2997 m
India	Bisiwali Mountain	34.262466	74.015742	3731 m
India	Kazi Nag Dhar Mountain	34.261772	74.065731	4070 m
India	Timar Tikan Mountain	34.408127	74.212123	1761 m
India	Pabat Mountain	34.38939	74.266836	5606 m
India	Gosin Tang Mountain	34.447338	74.276982	5909 m
India	Kralasangar Mountain	34.42143	74.3139	1797 m
India	Dional Mountain	34.423634	74.348935	2222 m
India	Tsaindgam Bal Mountain	34.449604	74.377747	2421 m
India	Demnari Mountain	34.448524	74.43363	2051 m
India	Kowut Mountain	34.419301	74.436138	2766 m
India	Kowutdor Mountain	34.42718	74.42927	2632 m
India	Shal Tang Mountain	34.399394	74.379583	1793 m
India	Arawan Mountain	34.37869	74.425218	6532 m
India	Rajkain Mountain	34.417986	74.498663	2386 m
India	Hapatbut Mountain	34.401258	74.484836	2335 m
India	Khanu Mountain	34.371223	74.463694	1983 m
India	Orni Jabbar Mountain	34.065107	73.958329	2378 m
India	Keran Mountain	34.04968	73.972071	2934 m
India	Banavat Mountain	33.779401	74.126662	5114 m
India	Kantar Nag Mountain	33.958399	74.364012	3857 m
India	Dumkot Mountain	33.977632	74.483536	3498 m
India	Krala Sangar Mountain	33.957502	74.473069	3920 m
India	Nalan Mountain	33.894731	74.274836	2610 m
India	Pir Panjal Mountain	33.896395	74.409916	4215 m
India	Chinamarg Mountain	33.888491	74.419403	4210 m
India	Shin Mahinyu Mountain	33.902697	74.436112	4427 m
India	Khara Ka Naza Mountain	33.844227	74.413697	4090 m
